method,anchor_class,target_class,time_index,difference_norm
methodA,polite,truesmile,0,0.09392764419317245
methodA,polite,truesmile,1,0.0933799222111702
methodA,polite,truesmile,2,0.15013612806797028
methodA,polite,truesmile,3,0.21637040376663208
methodA,polite,truesmile,4,0.2715092599391937
methodA,polite,truesmile,5,0.32732051610946655
methodA,polite,truesmile,6,0.35697799921035767
methodA,polite,truesmile,7,0.36944741010665894
methodA,polite,truesmile,8,0.39580875635147095
methodA,polite,truesmile,9,0.4233853220939636
methodA,polite,truesmile,10,0.43812698125839233
methodA,polite,truesmile,11,0.42079752683639526
methodA,polite,truesmile,12,0.43713077902793884
methodA,polite,truesmile,13,0.42950090765953064
methodA,polite,truesmile,14,0.4356861114501953
methodA,polite,truesmile,15,0.4610697031021118
methodA,polite,truesmile,16,0.4599795937538147
methodA,polite,truesmile,17,0.44611507654190063
methodA,polite,truesmile,18,0.4157004654407501
methodA,polite,truesmile,19,0.42115160822868347
methodA,polite,ambiguous,0,0.021226460114121437
methodA,polite,ambiguous,1,0.014947916381061077
methodA,polite,ambiguous,2,0.03511105105280876
methodA,polite,ambiguous,3,0.05418405681848526
methodA,polite,ambiguous,4,0.07036605477333069
methodA,polite,ambiguous,5,0.10395452380180359
methodA,polite,ambiguous,6,0.11802073568105698
methodA,polite,ambiguous,7,0.14711257815361023
methodA,polite,ambiguous,8,0.1761721670627594
methodA,polite,ambiguous,9,0.19373977184295654
methodA,polite,ambiguous,10,0.19839195907115936
methodA,polite,ambiguous,11,0.20334112644195557
methodA,polite,ambiguous,12,0.19273380935192108
methodA,polite,ambiguous,13,0.19926075637340546
methodA,polite,ambiguous,14,0.20175698399543762
methodA,polite,ambiguous,15,0.19280724227428436
methodA,polite,ambiguous,16,0.18467923998832703
methodA,polite,ambiguous,17,0.19369415938854218
methodA,polite,ambiguous,18,0.18971645832061768
methodA,polite,ambiguous,19,0.16748620569705963
methodA,truesmile,polite,0,0.09392764419317245
methodA,truesmile,polite,1,0.0933799222111702
methodA,truesmile,polite,2,0.15013612806797028
methodA,truesmile,polite,3,0.21637040376663208
methodA,truesmile,polite,4,0.2715092599391937
methodA,truesmile,polite,5,0.32732051610946655
methodA,truesmile,polite,6,0.35697799921035767
methodA,truesmile,polite,7,0.36944741010665894
methodA,truesmile,polite,8,0.39580875635147095
methodA,truesmile,polite,9,0.4233853220939636
methodA,truesmile,polite,10,0.43812698125839233
methodA,truesmile,polite,11,0.42079752683639526
methodA,truesmile,polite,12,0.43713077902793884
methodA,truesmile,polite,13,0.42950090765953064
methodA,truesmile,polite,14,0.4356861114501953
methodA,truesmile,polite,15,0.4610697031021118
methodA,truesmile,polite,16,0.4599795937538147
methodA,truesmile,polite,17,0.44611507654190063
methodA,truesmile,polite,18,0.4157004654407501
methodA,truesmile,polite,19,0.42115160822868347
methodA,truesmile,ambiguous,0,0.09558042883872986
methodA,truesmile,ambiguous,1,0.09268385171890259
methodA,truesmile,ambiguous,2,0.1502523422241211
methodA,truesmile,ambiguous,3,0.1963951587677002
methodA,truesmile,ambiguous,4,0.24746599793434143
methodA,truesmile,ambiguous,5,0.29330554604530334
methodA,truesmile,ambiguous,6,0.3094131350517273
methodA,truesmile,ambiguous,7,0.29884734749794006
methodA,truesmile,ambiguous,8,0.3150385618209839
methodA,truesmile,ambiguous,9,0.33441162109375
methodA,truesmile,ambiguous,10,0.34694141149520874
methodA,truesmile,ambiguous,11,0.3437490463256836
methodA,truesmile,ambiguous,12,0.3559142053127289
methodA,truesmile,ambiguous,13,0.37629786133766174
methodA,truesmile,ambiguous,14,0.38378968834877014
methodA,truesmile,ambiguous,15,0.40644726157188416
methodA,truesmile,ambiguous,16,0.40329858660697937
methodA,truesmile,ambiguous,17,0.38049495220184326
methodA,truesmile,ambiguous,18,0.35141652822494507
methodA,truesmile,ambiguous,19,0.3598302900791168
methodA,ambiguous,polite,0,0.021226460114121437
methodA,ambiguous,polite,1,0.014947916381061077
methodA,ambiguous,polite,2,0.03511105105280876
methodA,ambiguous,polite,3,0.05418405681848526
methodA,ambiguous,polite,4,0.07036605477333069
methodA,ambiguous,polite,5,0.10395452380180359
methodA,ambiguous,polite,6,0.11802073568105698
methodA,ambiguous,polite,7,0.14711257815361023
methodA,ambiguous,polite,8,0.1761721670627594
methodA,ambiguous,polite,9,0.19373977184295654
methodA,ambiguous,polite,10,0.19839195907115936
methodA,ambiguous,polite,11,0.20334112644195557
methodA,ambiguous,polite,12,0.19273380935192108
methodA,ambiguous,polite,13,0.19926075637340546
