method,metric_type,class,anchor_class,time_index,mean,std,median,q1,q3
methodA,difference_norm,ambiguous,ambiguous,0,0.14617302834435744,0.07726034341980278,0.11667868494987488,0.08705399557948112,0.17503628134727478
methodA,difference_norm,ambiguous,ambiguous,1,0.11290580848300899,0.07814549368157253,0.09484992921352386,0.054027920588850975,0.1413726508617401
methodA,difference_norm,ambiguous,ambiguous,2,0.2291504143288842,0.11550310343432726,0.19313211739063263,0.14690683037042618,0.3107765316963196
methodA,difference_norm,ambiguous,ambiguous,3,0.3100270568220704,0.13831929378967572,0.2912638485431671,0.19377577304840088,0.3760935068130493
methodA,difference_norm,ambiguous,ambiguous,4,0.3659641886198962,0.12848547615019024,0.35225823521614075,0.29068702459335327,0.41766373813152313
methodA,difference_norm,ambiguous,ambiguous,5,0.41027165673397203,0.1140703875170702,0.4063255488872528,0.312191903591156,0.4651812016963959
methodA,difference_norm,ambiguous,ambiguous,6,0.43839277934145043,0.10639886704366325,0.42757904529571533,0.3659769892692566,0.5262266099452972
methodA,difference_norm,ambiguous,ambiguous,7,0.4772453374332852,0.09201057220224367,0.49567800760269165,0.39868392050266266,0.5204771161079407
methodA,difference_norm,ambiguous,ambiguous,8,0.4888653501316353,0.08054239283136627,0.4929065406322479,0.44660137593746185,0.5233953893184662
methodA,difference_norm,ambiguous,ambiguous,9,0.4892569835539217,0.08251176304795875,0.4828983247280121,0.4632100760936737,0.5488654971122742
methodA,difference_norm,ambiguous,ambiguous,10,0.48886962621300306,0.09355536893369988,0.4828939735889435,0.44350385665893555,0.5521193742752075
methodA,difference_norm,ambiguous,ambiguous,11,0.5013474667513812,0.10118093163983043,0.5113488435745239,0.4270392656326294,0.5627189874649048
methodA,difference_norm,ambiguous,ambiguous,12,0.5093736207043683,0.09932181631947518,0.5214404463768005,0.44980858266353607,0.5752365589141846
methodA,difference_norm,ambiguous,ambiguous,13,0.5156850571985598,0.09276521513667464,0.5258504748344421,0.4588322043418884,0.5761266052722931
methodA,difference_norm,ambiguous,ambiguous,14,0.5160792503092024,0.09053315631623231,0.5329815745353699,0.47707846760749817,0.5745495557785034
methodA,difference_norm,ambiguous,ambiguous,15,0.5147720818166379,0.08626639593096717,0.5327107310295105,0.48811741173267365,0.587370902299881
methodA,difference_norm,ambiguous,ambiguous,16,0.5262088312043084,0.08474204838831498,0.5421345829963684,0.4841112941503525,0.5905662477016449
methodA,difference_norm,ambiguous,ambiguous,17,0.5290866714936716,0.09064965825629034,0.5293034911155701,0.4786779284477234,0.5728844702243805
methodA,difference_norm,ambiguous,ambiguous,18,0.5261283925286045,0.09434941559312389,0.5439032912254333,0.4675671458244324,0.5781911611557007
methodA,difference_norm,ambiguous,ambiguous,19,0.5263262755341,0.10268428234523518,0.525467038154602,0.45994360744953156,0.6097849011421204
methodA,difference_norm,polite,ambiguous,0,0.11933925529805625,0.047836114642008744,0.104896180331707,0.08585098385810852,0.1589488834142685
methodA,difference_norm,polite,ambiguous,1,0.10448551913950502,0.048319381714271734,0.0873459205031395,0.07268711179494858,0.1311327964067459
methodA,difference_norm,polite,ambiguous,2,0.20069784307625235,0.08026415125688352,0.1991272270679474,0.13976463675498962,0.24503076076507568
methodA,difference_norm,polite,ambiguous,3,0.2760666994059958,0.1022468804415605,0.2627224028110504,0.20770251750946045,0.3314528465270996
methodA,difference_norm,polite,ambiguous,4,0.31475127869989816,0.09858854627213605,0.3020097017288208,0.24214033782482147,0.37979844212532043
methodA,difference_norm,polite,ambiguous,5,0.36798200338352016,0.09782775485711818,0.35108301043510437,0.29412642121315,0.42797333002090454
methodA,difference_norm,polite,ambiguous,6,0.38451252477924996,0.09021075211193129,0.3586512506008148,0.32749274373054504,0.45173317193984985
methodA,difference_norm,polite,ambiguous,7,0.41718433979080943,0.09208894633204949,0.4164617657661438,0.3436294496059418,0.479129821062088
methodA,difference_norm,polite,ambiguous,8,0.43324559708920923,0.08451880782181695,0.43766456842422485,0.3752274215221405,0.48783913254737854
methodA,difference_norm,polite,ambiguous,9,0.45663511026196363,0.09309207995846713,0.4409705400466919,0.38790759444236755,0.5277755260467529
methodA,difference_norm,polite,ambiguous,10,0.4674479605221167,0.09622435551137175,0.4717237651348114,0.3947698771953583,0.5392724275588989
methodA,difference_norm,polite,ambiguous,11,0.4814058244228363,0.09080342012555861,0.48356273770332336,0.4333489239215851,0.5119369626045227
methodA,difference_norm,polite,ambiguous,12,0.48326915284482447,0.0975009652079596,0.4759540557861328,0.41632914543151855,0.5299504399299622
methodA,difference_norm,polite,ambiguous,13,0.4907439082134061,0.09969344337634144,0.4544874429702759,0.42278867959976196,0.5511050820350647
methodA,difference_norm,polite,ambiguous,14,0.498764397167578,0.09584662708027047,0.4828770160675049,0.4374822974205017,0.5447172522544861
methodA,difference_norm,polite,ambiguous,15,0.49445738370825604,0.08724611744779957,0.47730785608291626,0.4435747563838959,0.5444319844245911
methodA,difference_norm,polite,ambiguous,16,0.49828651765497717,0.09656879149846709,0.4692419171333313,0.4359028935432434,0.5500825643539429
methodA,difference_norm,polite,ambiguous,17,0.49810577674609857,0.09066162878614506,0.4978623390197754,0.42384350299835205,0.5692988634109497
methodA,difference_norm,polite,ambiguous,18,0.49393362897198373,0.09328202067897158,0.5045250654220581,0.4193112254142761,0.5661357045173645
methodA,difference_norm,polite,ambiguous,19,0.490767603240362,0.08899146735683093,0.46090587973594666,0.42688584327697754,0.5603224635124207
methodA,difference_norm,truesmile,ambiguous,0,0.2356999342640241,0.07463930965319941,0.22479628771543503,0.22184216603636742,0.23105626553297043
methodA,difference_norm,truesmile,ambiguous,1,0.2172709728280703,0.06841406387336606,0.20195472985506058,0.17100826278328896,0.21302341297268867
methodA,difference_norm,truesmile,ambiguous,2,0.4041333297888438,0.07602640428509912,0.36933349072933197,0.35437095165252686,0.4397425428032875
methodA,difference_norm,truesmile,ambiguous,3,0.4898671458164851,0.15459864015194338,0.4597286581993103,0.3874584585428238,0.5292619317770004
methodA,difference_norm,truesmile,ambiguous,4,0.5579382528861364,0.14163292595820764,0.4954424351453781,0.47574829310178757,0.6221212446689606
methodA,difference_norm,truesmile,ambiguous,5,0.588526705900828,0.1491887680460603,0.555345743894577,0.5070528835058212,0.640862837433815
methodA,difference_norm,truesmile,ambiguous,6,0.6198173761367798,0.14490527104196038,0.6209420561790466,0.5406132638454437,0.675110325217247
methodA,difference_norm,truesmile,ambiguous,7,0.6191218793392181,0.14086763390385798,0.600818544626236,0.5703279972076416,0.6871108412742615
methodA,difference_norm,truesmile,ambiguous,8,0.6307114760080973,0.13728017483939142,0.624510258436203,0.5663098841905594,0.6985254287719727
methodA,difference_norm,truesmile,ambiguous,9,0.6154426982005438,0.12709039917256534,0.6165473163127899,0.5962178707122803,0.7127147912979126
methodA,difference_norm,truesmile,ambiguous,10,0.6129498928785324,0.12803499343753239,0.6035396456718445,0.5803358107805252,0.7181259840726852
methodA,difference_norm,truesmile,ambiguous,11,0.627334862947464,0.12519689983670348,0.6162761151790619,0.5843960791826248,0.7235816121101379
methodA,difference_norm,truesmile,ambiguous,12,0.6220628768205643,0.10392447853941665,0.6067120730876923,0.5928917080163956,0.6885986775159836
methodA,difference_norm,truesmile,ambiguous,13,0.6539971431096395,0.07365198495731189,0.6600416898727417,0.6003145128488541,0.7161466330289841
methodA,difference_norm,truesmile,ambiguous,14,0.6807125310103098,0.05499930290250775,0.6892502903938293,0.6306619346141815,0.7267660945653915
methodA,difference_norm,truesmile,ambiguous,15,0.6820489366849264,0.06148441306141888,0.7122460603713989,0.6261864602565765,0.729387953877449
methodA,difference_norm,truesmile,ambiguous,16,0.6806877454121908,0.06859083869628937,0.6824489235877991,0.6143611371517181,0.7370862364768982
methodA,difference_norm,truesmile,ambiguous,17,0.7015871604283651,0.08168383245597712,0.7091667056083679,0.6277967989444733,0.7660916298627853
methodA,difference_norm,truesmile,ambiguous,18,0.6412897109985352,0.047869738174152514,0.6334529221057892,0.6010035276412964,0.6615565121173859
methodA,difference_norm,truesmile,ambiguous,19,0.6569924652576447,0.053977170298991566,0.6526011228561401,0.6083532273769379,0.6863053441047668
methodA,difference_norm,ambiguous,polite,0,0.14751377674164595,0.07738362145282382,0.11816489696502686,0.08979179337620735,0.18008556962013245
methodA,difference_norm,ambiguous,polite,1,0.11395487230685022,0.07802861748970547,0.09446591138839722,0.05541132017970085,0.1429254710674286
methodA,difference_norm,ambiguous,polite,2,0.23100368706164537,0.11523793762099412,0.1945917308330536,0.1496233567595482,0.3117777705192566
methodA,difference_norm,ambiguous,polite,3,0.3138262695736355,0.14109773864089387,0.2886185646057129,0.2025001496076584,0.3785899579524994
methodA,difference_norm,ambiguous,polite,4,0.37085014471301325,0.13463886518778928,0.35846561193466187,0.2845068573951721,0.4247797727584839
methodA,difference_norm,ambiguous,polite,5,0.4210249169005288,0.11924494385877667,0.4222787916660309,0.3155929297208786,0.4779030680656433
methodA,difference_norm,ambiguous,polite,6,0.4507116327683131,0.1146722681607074,0.44408008456230164,0.37309814989566803,0.5406139492988586
methodA,difference_norm,ambiguous,polite,7,0.4964861825660423,0.1078073792561842,0.4953734278678894,0.40161024034023285,0.5638616979122162
methodA,difference_norm,ambiguous,polite,8,0.5158679617775811,0.09969189074668007,0.5216413140296936,0.4553200304508209,0.5787093341350555
methodA,difference_norm,ambiguous,polite,9,0.5222218533356985,0.10161136885358929,0.545779824256897,0.468635693192482,0.5762554705142975
methodA,difference_norm,ambiguous,polite,10,0.5247137568615101,0.11672832646983307,0.5490093231201172,0.4561988264322281,0.586452841758728
methodA,difference_norm,ambiguous,polite,11,0.5390942803135624,0.12256916806899554,0.5707629323005676,0.44446294009685516,0.6239621341228485
methodA,difference_norm,ambiguous,polite,12,0.5409986332610801,0.11684178067345027,0.5606733560562134,0.4508596211671829,0.6221736371517181
methodA,difference_norm,ambiguous,polite,13,0.5485754090326803,0.11234174070144322,0.5607457160949707,0.45554889738559723,0.6320742070674896
methodA,difference_norm,ambiguous,polite,14,0.549501895904541,0.10793652183534608,0.5883391499519348,0.46753428876399994,0.6282844841480255
methodA,difference_norm,ambiguous,polite,15,0.5455633125923298,0.10284071012243218,0.542587399482727,0.48955704271793365,0.6302447319030762
methodA,difference_norm,ambiguous,polite,16,0.5511997308995988,0.09719168352466598,0.5785733461380005,0.49605293571949005,0.6212211549282074
methodA,difference_norm,ambiguous,polite,17,0.5567884224432486,0.1070897106965846,0.568851113319397,0.5083571970462799,0.6288381516933441
methodA,difference_norm,ambiguous,polite,18,0.5560616309996005,0.10909339238676814,0.5664665102958679,0.5016889870166779,0.6175517439842224
methodA,difference_norm,ambiguous,polite,19,0.5489542351828681,0.11300530571586229,0.5589761137962341,0.483706995844841,0.636443704366684
methodA,difference_norm,polite,polite,0,0.11752329257930197,0.04855415534780418,0.10156142711639404,0.08360061794519424,0.1562860757112503
methodA,difference_norm,polite,polite,1,0.10349392118613894,0.04844908258137764,0.08575320988893509,0.07289357483386993,0.1286775767803192
methodA,difference_norm,polite,polite,2,0.19831220405857738,0.0802842974869939,0.20126724243164062,0.13666453957557678,0.2435792237520218
methodA,difference_norm,polite,polite,3,0.27196320600625945,0.10299072347312309,0.2633768618106842,0.20863531529903412,0.32336321473121643
methodA,difference_norm,polite,polite,4,0.30888573389227797,0.10058967379347743,0.30100977420806885,0.23671753704547882,0.37421709299087524
methodA,difference_norm,polite,polite,5,0.354612913073563,0.0997931413535239,0.3395938277244568,0.2809983491897583,0.4101378917694092
methodA,difference_norm,polite,polite,6,0.3679348753719795,0.09755857975719144,0.3406006991863251,0.30503523349761963,0.42407265305519104
methodA,difference_norm,polite,polite,7,0.39410583820284867,0.10179735018221456,0.38465628027915955,0.3107469975948334,0.4508360028266907
methodA,difference_norm,polite,polite,8,0.4039381611637953,0.09853163318297302,0.39429327845573425,0.33957621455192566,0.43251460790634155
methodA,difference_norm,polite,polite,9,0.42179793010397654,0.11018135769781909,0.3979971408843994,0.34425482153892517,0.49137088656425476
methodA,difference_norm,polite,polite,10,0.4323736596398237,0.11296932505052704,0.42680296301841736,0.3563387393951416,0.5144152045249939
methodA,difference_norm,polite,polite,11,0.4470434043465591,0.1076235283712404,0.43446436524391174,0.37742507457733154,0.504636287689209
methodA,difference_norm,polite,polite,12,0.4531426509705985,0.10700171326358972,0.43726253509521484,0.370544970035553,0.5067009329795837
methodA,difference_norm,polite,polite,13,0.4577346800304041,0.11035458466142377,0.42899563908576965,0.37568196654319763,0.5372180938720703
methodA,difference_norm,polite,polite,14,0.46664061706240584,0.11194311723064751,0.4593968987464905,0.3853074610233307,0.5254660844802856
methodA,difference_norm,polite,polite,15,0.4668911782706656,0.1020883717801373,0.45147353410720825,0.3757369816303253,0.5462121367454529
methodA,difference_norm,polite,polite,16,0.47065988982596046,0.1074684169263579,0.4522477984428406,0.3856344223022461,0.5459076166152954
methodA,difference_norm,polite,polite,17,0.4703850244603506,0.10721148968279427,0.4686984121799469,0.3803030848503113,0.5426436066627502
methodA,difference_norm,polite,polite,18,0.4681561538359014,0.11219727560260144,0.46247488260269165,0.37878596782684326,0.5412478446960449
methodA,difference_norm,polite,polite,19,0.4709278388721187,0.10877842969648255,0.4469432234764099,0.40051326155662537,0.5683794021606445
methodA,difference_norm,truesmile,polite,0,0.23496792962153754,0.07443233938248242,0.22492585331201553,0.2198614552617073,0.22973927482962608
methodA,difference_norm,truesmile,polite,1,0.21737577269474664,0.06784062006452483,0.20142902433872223,0.17188086733222008,0.21392353996634483
methodA,difference_norm,truesmile,polite,2,0.4042995671431224,0.07731944230905112,0.3705906718969345,0.3510609567165375,0.43988122045993805
methodA,difference_norm,truesmile,polite,3,0.4984442889690399,0.15765715142227346,0.4701221287250519,0.3930302560329437,0.5423210710287094
methodA,difference_norm,truesmile,polite,4,0.5707975725332896,0.14223040555432592,0.5084704011678696,0.4813132658600807,0.6380069404840469
methodA,difference_norm,truesmile,polite,5,0.6078166762987772,0.14792781849543452,0.5761798024177551,0.5151908695697784,0.6592469811439514
methodA,difference_norm,truesmile,polite,6,0.6450732251008352,0.1461671075828309,0.6419351398944855,0.5543108880519867,0.7090097367763519
methodA,difference_norm,truesmile,polite,7,0.6561814993619919,0.14505509165008826,0.6326921284198761,0.5870239436626434,0.7379221618175507
methodA,difference_norm,truesmile,polite,8,0.6750018845001856,0.14228987885758584,0.6452265381813049,0.6054806858301163,0.751010075211525
methodA,difference_norm,truesmile,polite,9,0.6677877803643545,0.13996176915097466,0.680208295583725,0.6113115847110748,0.7843181192874908
methodA,difference_norm,truesmile,polite,10,0.6689666012922922,0.14364735641458518,0.6702719926834106,0.6020365059375763,0.7938917428255081
methodA,difference_norm,truesmile,polite,11,0.6714673091967901,0.1515644001078676,0.6755932867527008,0.5918066203594208,0.7926485538482666
methodA,difference_norm,truesmile,polite,12,0.671523317694664,0.12068814093637265,0.657552033662796,0.6148992329835892,0.7550182789564133
methodA,difference_norm,truesmile,polite,13,0.6856035689512888,0.09656570700331632,0.6612661778926849,0.6475286781787872,0.7701239734888077
methodA,difference_norm,truesmile,polite,14,0.7085034946600596,0.07291271127000158,0.6868767738342285,0.6712043583393097,0.7691368609666824
methodA,difference_norm,truesmile,polite,15,0.7139937182267507,0.0686307741669271,0.7281501293182373,0.6779549866914749,0.7630242258310318
methodA,difference_norm,truesmile,polite,16,0.7132603228092194,0.07720232552036621,0.7196016609668732,0.6623804122209549,0.7789710462093353
methodA,difference_norm,truesmile,polite,17,0.7355665663878123,0.0957483133032218,0.7296513915061951,0.6774715036153793,0.8199013471603394
methodA,difference_norm,truesmile,polite,18,0.6759437719980875,0.06034226950310339,0.6465335190296173,0.6422327160835266,0.6942320168018341
methodA,difference_norm,truesmile,polite,19,0.6925217608610789,0.06826821634410304,0.693585604429245,0.6313050091266632,0.7310013175010681
methodA,difference_norm,ambiguous,truesmile,0,0.17856354790705223,0.07106951473825593,0.1497407704591751,0.12937168031930923,0.20044063031673431
methodA,difference_norm,ambiguous,truesmile,1,0.15166492732586684,0.06513162389151685,0.12469203025102615,0.110145203769207,0.17559296637773514
methodA,difference_norm,ambiguous,truesmile,2,0.2785562773545583,0.09767590202502743,0.24325138330459595,0.2023659497499466,0.3530600070953369
methodA,difference_norm,ambiguous,truesmile,3,0.3651026067910371,0.1015981324023047,0.3480839729309082,0.28056344389915466,0.4071134477853775
methodA,difference_norm,ambiguous,truesmile,4,0.432854234068482,0.09256552708705958,0.4110511243343353,0.37568655610084534,0.48132020235061646
methodA,difference_norm,ambiguous,truesmile,5,0.48964047873461686,0.0823971639863081,0.4701971113681793,0.43279649317264557,0.5466855764389038
methodA,difference_norm,ambiguous,truesmile,6,0.5180973068431571,0.07218334037216032,0.5098540782928467,0.4580058157444,0.5800943374633789
methodA,difference_norm,ambiguous,truesmile,7,0.5443400354297073,0.06721790875557698,0.5449331402778625,0.48572196066379547,0.5879517793655396
methodA,difference_norm,ambiguous,truesmile,8,0.564280413919025,0.06551038092338807,0.5748552083969116,0.5065552592277527,0.609453946352005
methodA,difference_norm,ambiguous,truesmile,9,0.5739343729284074,0.07035632426018099,0.5793224573135376,0.5140931904315948,0.6073457598686218
methodA,difference_norm,ambiguous,truesmile,10,0.5757119225131141,0.07496217662111496,0.5735715627670288,0.5197501182556152,0.6357712149620056
methodA,difference_norm,ambiguous,truesmile,11,0.5854718055990007,0.07979773028642728,0.5886641144752502,0.5210908651351929,0.642065554857254
