method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodA,polite,polite,1,0,0.206564262509346
methodA,polite,polite,1,1,0.09636270999908447
methodA,polite,polite,1,2,0.1839970201253891
methodA,polite,polite,1,3,0.2374470978975296
methodA,polite,polite,1,4,0.23671753704547882
methodA,polite,polite,1,5,0.26840221881866455
methodA,polite,polite,1,6,0.26766347885131836
methodA,polite,polite,1,7,0.3191986382007599
methodA,polite,polite,1,8,0.33957621455192566
methodA,polite,polite,1,9,0.33416205644607544
methodA,polite,polite,1,10,0.3428569734096527
methodA,polite,polite,1,11,0.34142136573791504
methodA,polite,polite,1,12,0.35541898012161255
methodA,polite,polite,1,13,0.38190382719039917
methodA,polite,polite,1,14,0.34862175583839417
methodA,polite,polite,1,15,0.3359803557395935
methodA,polite,polite,1,16,0.3256949186325073
methodA,polite,polite,1,17,0.30210569500923157
methodA,polite,polite,1,18,0.3107460141181946
methodA,polite,polite,1,19,0.3168438971042633
methodA,truesmile,polite,1,0,0.20853213965892792
methodA,truesmile,polite,1,1,0.11779210716485977
methodA,truesmile,polite,1,2,0.21685045957565308
methodA,truesmile,polite,1,3,0.2700802683830261
methodA,truesmile,polite,1,4,0.30880478024482727
methodA,truesmile,polite,1,5,0.36426547169685364
methodA,truesmile,polite,1,6,0.3906305730342865
methodA,truesmile,polite,1,7,0.42628777027130127
methodA,truesmile,polite,1,8,0.4619130492210388
methodA,truesmile,polite,1,9,0.46423208713531494
methodA,truesmile,polite,1,10,0.48589834570884705
methodA,truesmile,polite,1,11,0.48681366443634033
methodA,truesmile,polite,1,12,0.5006633996963501
methodA,truesmile,polite,1,13,0.5068179368972778
methodA,truesmile,polite,1,14,0.4976179599761963
methodA,truesmile,polite,1,15,0.5063840746879578
methodA,truesmile,polite,1,16,0.500450849533081
methodA,truesmile,polite,1,17,0.48796769976615906
methodA,truesmile,polite,1,18,0.49922090768814087
methodA,truesmile,polite,1,19,0.49538159370422363
methodA,ambiguous,polite,1,0,0.2075885385274887
methodA,ambiguous,polite,1,1,0.09787782281637192
methodA,ambiguous,polite,1,2,0.1818883866071701
