method,class,time_index,projection_length,projection_ratio
methodA,polite,0,0.0,0.0
methodA,polite,1,0.0010917260078713298,0.002172607695683837
methodA,polite,2,0.003415558487176895,0.006797189358621836
methodA,polite,3,0.004737377166748047,0.009427696466445923
methodA,polite,4,0.012149781920015812,0.024178877472877502
methodA,polite,5,0.023109465837478638,0.04598937928676605
methodA,polite,6,0.03437025099992752,0.0683990940451622
methodA,polite,7,0.039338260889053345,0.07828576862812042
methodA,polite,8,0.047779589891433716,0.09508457034826279
methodA,polite,9,0.050347305834293365,0.10019449889659882
methodA,polite,10,0.051325876265764236,0.10214191675186157
methodA,polite,11,0.06789866089820862,0.1351228654384613
methodA,polite,12,0.07458820939064026,0.14843551814556122
methodA,polite,13,0.09658484905958176,0.19221030175685883
methodA,polite,14,0.10666947811841965,0.21227937936782837
methodA,polite,15,0.11236980557441711,0.22362340986728668
methodA,polite,16,0.1121239885687828,0.22313421964645386
methodA,polite,17,0.10595032572746277,0.21084822714328766
methodA,polite,18,0.10605154931545258,0.2110496610403061
methodA,polite,19,0.1043970063328743,0.20775701105594635
methodA,truesmile,0,0.0,0.0
methodA,truesmile,1,0.06093201786279678,0.12125878036022186
methodA,truesmile,2,0.09010399878025055,0.17931297421455383
methodA,truesmile,3,0.18143290281295776,0.3610635995864868
methodA,truesmile,4,0.22463461756706238,0.44703787565231323
methodA,truesmile,5,0.28852584958076477,0.5741857290267944
methodA,truesmile,6,0.3220614790916443,0.6409238576889038
methodA,truesmile,7,0.35363060235977173,0.7037485241889954
methodA,truesmile,8,0.3896310031414032,0.775391697883606
methodA,truesmile,9,0.4259324073791504,0.8476338982582092
methodA,truesmile,10,0.4350619316101074,0.8658022880554199
methodA,truesmile,11,0.42546483874320984,0.8467034101486206
methodA,truesmile,12,0.4373447000980377,0.8703451752662659
methodA,truesmile,13,0.4337323009967804,0.863156259059906
methodA,truesmile,14,0.43884146213531494,0.8733237981796265
methodA,truesmile,15,0.4645730257034302,0.9245313405990601
methodA,truesmile,16,0.47301167249679565,0.9413248300552368
methodA,truesmile,17,0.4851970672607422,0.9655745625495911
methodA,truesmile,18,0.4784894287586212,0.952225923538208
methodA,truesmile,19,0.5024957060813904,1.0
methodA,ambiguous,0,0.0,0.0
methodA,ambiguous,1,0.0027958217542618513,0.005563871935009956
methodA,ambiguous,2,0.00994359515607357,0.01978841796517372
methodA,ambiguous,3,0.024264195933938026,0.048287369310855865
methodA,ambiguous,4,0.0391402542591095,0.07789172232151031
methodA,ambiguous,5,0.05998486652970314,0.11937388777732849
methodA,ambiguous,6,0.0843481570482254,0.16785846650600433
methodA,ambiguous,7,0.12736085057258606,0.25345659255981445
methodA,ambiguous,8,0.1563856303691864,0.3112178444862366
methodA,ambiguous,9,0.17325332760810852,0.3447856903076172
methodA,ambiguous,10,0.16824883222579956,0.33482640981674194
methodA,ambiguous,11,0.1740153431892395,0.3463021516799927
methodA,ambiguous,12,0.17170730233192444,0.3417089879512787
methodA,ambiguous,13,0.1901012361049652,0.37831413745880127
methodA,ambiguous,14,0.19743934273719788,0.3929174840450287
methodA,ambiguous,15,0.20544639229774475,0.4088520407676697
methodA,ambiguous,16,0.19597512483596802,0.39000359177589417
methodA,ambiguous,17,0.20342999696731567,0.40483927726745605
methodA,ambiguous,18,0.200506329536438,0.3990209698677063
methodA,ambiguous,19,0.1872885823249817,0.3727167844772339
