method,class,time_index,off_axis_distance,off_axis_ratio
methodA,polite,0,0.0,0.0
methodA,polite,1,0.025377022102475166,0.05050196871161461
methodA,polite,2,0.035534266382455826,0.07071556150913239
methodA,polite,3,0.0561637356877327,0.11176958680152893
methodA,polite,4,0.07465074211359024,0.14855995774269104
methodA,polite,5,0.10929864645004272,0.2175116091966629
methodA,polite,6,0.12115354090929031,0.2411036342382431
methodA,polite,7,0.13135652244091034,0.2614082396030426
methodA,polite,8,0.14230704307556152,0.2832005023956299
methodA,polite,9,0.1499575525522232,0.2984255254268646
methodA,polite,10,0.16202738881111145,0.3224453330039978
methodA,polite,11,0.1769576370716095,0.35215750336647034
methodA,polite,12,0.19722048938274384,0.3924819529056549
methodA,polite,13,0.19938459992408752,0.39678865671157837
methodA,polite,14,0.20346443355083466,0.40490779280662537
methodA,polite,15,0.20500706136226654,0.40797773003578186
methodA,polite,16,0.2066015601158142,0.41115090250968933
methodA,polite,17,0.2002880871295929,0.3985866606235504
methodA,polite,18,0.18626515567302704,0.3706800937652588
methodA,polite,19,0.18198727071285248,0.3621668219566345
methodA,truesmile,0,0.0,0.0
methodA,truesmile,1,0.1567562222480774,0.3119553327560425
methodA,truesmile,2,0.19194462895393372,0.38198262453079224
methodA,truesmile,3,0.18547876179218292,0.36911511421203613
methodA,truesmile,4,0.22311531007289886,0.44401437044143677
methodA,truesmile,5,0.24561576545238495,0.4887917637825012
methodA,truesmile,6,0.2540476620197296,0.5055717825889587
methodA,truesmile,7,0.2232760190963745,0.4443341791629791
methodA,truesmile,8,0.22480465471744537,0.4473762810230255
methodA,truesmile,9,0.21588575839996338,0.42962706089019775
methodA,truesmile,10,0.21814370155334473,0.4341205358505249
methodA,truesmile,11,0.21345818042755127,0.4247960150241852
methodA,truesmile,12,0.2212674915790558,0.44033709168434143
methodA,truesmile,13,0.23422479629516602,0.46612298488616943
methodA,truesmile,14,0.2319181114435196,0.4615325331687927
methodA,truesmile,15,0.24468275904655457,0.486935019493103
methodA,truesmile,16,0.23432667553424835,0.4663257300853729
methodA,truesmile,17,0.19121897220611572,0.3805385231971741
methodA,truesmile,18,0.15940450131893158,0.3172256052494049
methodA,truesmile,19,3.7547325248965535e-09,7.47216866159306e-09
methodA,ambiguous,0,0.0,0.0
methodA,ambiguous,1,0.024250950664281845,0.04826100915670395
methodA,ambiguous,2,0.04349985718727112,0.08656761795282364
methodA,ambiguous,3,0.06655101478099823,0.1324409693479538
methodA,ambiguous,4,0.09374828636646271,0.1865653544664383
methodA,ambiguous,5,0.12237991392612457,0.24354419112205505
methodA,ambiguous,6,0.1404830664396286,0.27957066893577576
methodA,ambiguous,7,0.16811016201972961,0.3345504403114319
methodA,ambiguous,8,0.18466559052467346,0.3674968481063843
methodA,ambiguous,9,0.19709239900112152,0.39222702383995056
methodA,ambiguous,10,0.20024460554122925,0.39850014448165894
methodA,ambiguous,11,0.20975391566753387,0.4174242913722992
methodA,ambiguous,12,0.20153264701366425,0.4010634124279022
methodA,ambiguous,13,0.20717547833919525,0.41229304671287537
methodA,ambiguous,14,0.215572789311409,0.4290042519569397
methodA,ambiguous,15,0.21008363366127014,0.4180804491043091
methodA,ambiguous,16,0.19953526556491852,0.39708849787712097
methodA,ambiguous,17,0.21279746294021606,0.42348116636276245
methodA,ambiguous,18,0.21136212348937988,0.4206247329711914
methodA,ambiguous,19,0.19771189987659454,0.39345988631248474
