method,class,sequence_id,time_index,projection_ratio,off_axis_ratio
methodA,polite,1,0,0.0,0.0
methodA,polite,1,1,0.026659153401851654,0.5460653305053711
methodA,polite,1,2,0.10711344331502914,0.6964002251625061
methodA,polite,1,3,0.1436614990234375,0.7526882886886597
methodA,polite,1,4,0.17614173889160156,0.7337735891342163
methodA,polite,1,5,0.20093125104904175,0.7735587954521179
methodA,polite,1,6,0.21945849061012268,0.7443052530288696
methodA,polite,1,7,0.2721567749977112,0.7957237958908081
methodA,polite,1,8,0.29475802183151245,0.8056128025054932
methodA,polite,1,9,0.3047189712524414,0.8211708664894104
methodA,polite,1,10,0.2828576862812042,0.8386741876602173
methodA,polite,1,11,0.2630009055137634,0.8203384280204773
methodA,polite,1,12,0.27926355600357056,0.8315042853355408
methodA,polite,1,13,0.2784740924835205,0.846157968044281
methodA,polite,1,14,0.30649903416633606,0.8240395188331604
methodA,polite,1,15,0.31130295991897583,0.8130457401275635
methodA,polite,1,16,0.30369216203689575,0.8156579732894897
methodA,polite,1,17,0.28617382049560547,0.7094264030456543
methodA,polite,1,18,0.2496122419834137,0.6421553492546082
methodA,polite,1,19,0.27201157808303833,0.8113895654678345
methodA,polite,10,0,0.0,0.0
methodA,polite,10,1,0.001337429042905569,0.32629895210266113
methodA,polite,10,2,0.021999595686793327,0.6879898309707642
methodA,polite,10,3,0.1394081860780716,0.8970429301261902
methodA,polite,10,4,0.21337200701236725,0.9781980514526367
methodA,polite,10,5,0.4307996928691864,1.199841022491455
methodA,polite,10,6,0.5147740840911865,1.2026101350784302
methodA,polite,10,7,0.5645623207092285,1.1680673360824585
methodA,polite,10,8,0.5191320180892944,1.13629949092865
methodA,polite,10,9,0.5621582269668579,1.216212272644043
methodA,polite,10,10,0.5758087038993835,1.1364610195159912
methodA,polite,10,11,0.5711247324943542,1.1996393203735352
methodA,polite,10,12,0.518302321434021,1.1755672693252563
methodA,polite,10,13,0.42682284116744995,1.167900800704956
methodA,polite,10,14,0.3859633505344391,1.1153990030288696
methodA,polite,10,15,0.37808534502983093,1.0700857639312744
methodA,polite,10,16,0.3287230432033539,1.0313084125518799
methodA,polite,10,17,0.26235833764076233,1.0056993961334229
methodA,polite,10,18,0.20508576929569244,1.0619384050369263
methodA,polite,10,19,0.2795048654079437,1.0856704711914062
methodA,polite,11,0,0.0,0.0
methodA,polite,11,1,0.03729787468910217,0.2025461345911026
methodA,polite,11,2,0.08345679193735123,0.4529368281364441
methodA,polite,11,3,0.10523107647895813,0.4742734730243683
methodA,polite,11,4,0.06559167802333832,0.5684126615524292
methodA,polite,11,5,0.08052466809749603,0.631837785243988
methodA,polite,11,6,0.15620014071464539,0.7202463150024414
methodA,polite,11,7,0.18208588659763336,0.9420755505561829
methodA,polite,11,8,0.17115524411201477,0.8827682137489319
methodA,polite,11,9,0.19388963282108307,0.870843231678009
methodA,polite,11,10,0.2082497626543045,0.8298746943473816
methodA,polite,11,11,0.2449457347393036,0.7388468384742737
methodA,polite,11,12,0.21554510295391083,0.8067034482955933
methodA,polite,11,13,0.22217923402786255,0.7586944699287415
methodA,polite,11,14,0.2562669813632965,0.8352110385894775
methodA,polite,11,15,0.25855547189712524,0.8304843902587891
methodA,polite,11,16,0.27104368805885315,0.8431710004806519
methodA,polite,11,17,0.20572440326213837,0.7061547636985779
methodA,polite,11,18,0.07399371266365051,0.6152413487434387
methodA,polite,11,19,0.031448520720005035,0.5734436511993408
methodA,polite,13,0,0.0,0.0
methodA,polite,13,1,0.010993536561727524,0.2131953090429306
methodA,polite,13,2,0.035683564841747284,0.27610543370246887
