method,metric_type,class,anchor_class,time_index,mean,std,median,q1,q3
methodA,off_axis_ratio,ambiguous,,0,0.0,0.0,0.0,0.0,0.0
methodA,off_axis_ratio,ambiguous,,1,0.46174383604968033,0.27044974701662605,0.41265690326690674,0.27120010554790497,0.5124087631702423
methodA,off_axis_ratio,ambiguous,,2,0.6386404495548319,0.28657285744038674,0.619963526725769,0.3804052323102951,0.7840811610221863
methodA,off_axis_ratio,ambiguous,,3,0.7213948037889268,0.29860248683027824,0.6672996878623962,0.5164568275213242,0.8884688317775726
methodA,off_axis_ratio,ambiguous,,4,0.812783420085907,0.27660058684953764,0.7450422048568726,0.6252862811088562,0.9883562624454498
methodA,off_axis_ratio,ambiguous,,5,0.8919187331641162,0.26133810956264,0.8974187970161438,0.6671715378761292,1.0546179413795471
methodA,off_axis_ratio,ambiguous,,6,0.9435942945656953,0.23867238982593095,0.934643030166626,0.7928423583507538,1.11990088224411
methodA,off_axis_ratio,ambiguous,,7,1.0112683221145913,0.2266607894779521,0.9466696977615356,0.8543216288089752,1.1468822360038757
methodA,off_axis_ratio,ambiguous,,8,1.0473854585930154,0.21668847538514435,1.0474575757980347,0.8887940943241119,1.1540614366531372
methodA,off_axis_ratio,ambiguous,,9,1.0547139622547008,0.2243657887363953,1.0508341789245605,0.9178636074066162,1.1636137962341309
methodA,off_axis_ratio,ambiguous,,10,1.0491822185339752,0.24925949859805255,1.044921875,0.8816409111022949,1.1780980229377747
methodA,off_axis_ratio,ambiguous,,11,1.0777843175110993,0.2509346881684798,1.0698133707046509,0.8834314942359924,1.223782479763031
methodA,off_axis_ratio,ambiguous,,12,1.0859668696368183,0.24978525822283737,1.0780611038208008,0.8832413852214813,1.2602108716964722
methodA,off_axis_ratio,ambiguous,,13,1.1073137742501717,0.2466153896089735,1.0938878059387207,0.9099428355693817,1.2945635318756104
methodA,off_axis_ratio,ambiguous,,14,1.1146524990046467,0.2379253402098899,1.0912599563598633,0.9560879170894623,1.2936352491378784
methodA,off_axis_ratio,ambiguous,,15,1.1090743519641735,0.215414699281799,1.1309521198272705,0.9710022211074829,1.277879238128662
methodA,off_axis_ratio,ambiguous,,16,1.114041668397409,0.20121286973916494,1.085402488708496,1.0114880800247192,1.2922037839889526
methodA,off_axis_ratio,ambiguous,,17,1.1208307213253446,0.2143665778434717,1.1251412630081177,0.9902956783771515,1.262692928314209
