method,anchor_class,target_class,time_index,difference_norm
methodB,polite,truesmile,0,0.15273888409137726
methodB,polite,truesmile,1,0.17220266163349152
methodB,polite,truesmile,2,0.3523041605949402
methodB,polite,truesmile,3,0.34108638763427734
methodB,polite,truesmile,4,0.43819981813430786
methodB,polite,truesmile,5,0.4605501592159271
methodB,polite,truesmile,6,0.5069247484207153
methodB,polite,truesmile,7,0.4963275194168091
methodB,polite,truesmile,8,0.5145216584205627
methodB,polite,truesmile,9,0.46175599098205566
methodB,polite,truesmile,10,0.45953211188316345
methodB,polite,truesmile,11,0.4424515962600708
methodB,polite,truesmile,12,0.5237680673599243
methodB,polite,truesmile,13,0.5778651833534241
methodB,polite,truesmile,14,0.6603063344955444
methodB,polite,truesmile,15,0.6321519613265991
methodB,polite,truesmile,16,0.6326245665550232
methodB,polite,truesmile,17,0.6149573922157288
methodB,polite,truesmile,18,0.6398901343345642
methodB,polite,truesmile,19,0.6228260397911072
methodB,polite,ambiguous,0,0.09615349024534225
methodB,polite,ambiguous,1,0.04294390603899956
methodB,polite,ambiguous,2,0.08394782245159149
methodB,polite,ambiguous,3,0.15417318046092987
methodB,polite,ambiguous,4,0.24713507294654846
methodB,polite,ambiguous,5,0.2609310746192932
methodB,polite,ambiguous,6,0.2878000736236572
methodB,polite,ambiguous,7,0.42221641540527344
methodB,polite,ambiguous,8,0.45193758606910706
methodB,polite,ambiguous,9,0.3519548773765564
methodB,polite,ambiguous,10,0.37517067790031433
methodB,polite,ambiguous,11,0.399332195520401
methodB,polite,ambiguous,12,0.41017115116119385
methodB,polite,ambiguous,13,0.422824501991272
methodB,polite,ambiguous,14,0.4425993263721466
methodB,polite,ambiguous,15,0.46385279297828674
methodB,polite,ambiguous,16,0.5099315047264099
methodB,polite,ambiguous,17,0.5107167959213257
methodB,polite,ambiguous,18,0.49603399634361267
methodB,polite,ambiguous,19,0.494920551776886
methodB,truesmile,polite,0,0.15273888409137726
methodB,truesmile,polite,1,0.17220266163349152
methodB,truesmile,polite,2,0.3523041605949402
methodB,truesmile,polite,3,0.34108638763427734
methodB,truesmile,polite,4,0.43819981813430786
methodB,truesmile,polite,5,0.4605501592159271
methodB,truesmile,polite,6,0.5069247484207153
methodB,truesmile,polite,7,0.4963275194168091
methodB,truesmile,polite,8,0.5145216584205627
methodB,truesmile,polite,9,0.46175599098205566
methodB,truesmile,polite,10,0.45953211188316345
methodB,truesmile,polite,11,0.4424515962600708
methodB,truesmile,polite,12,0.5237680673599243
methodB,truesmile,polite,13,0.5778651833534241
methodB,truesmile,polite,14,0.6603063344955444
methodB,truesmile,polite,15,0.6321519613265991
methodB,truesmile,polite,16,0.6326245665550232
methodB,truesmile,polite,17,0.6149573922157288
methodB,truesmile,polite,18,0.6398901343345642
methodB,truesmile,polite,19,0.6228260397911072
methodB,truesmile,ambiguous,0,0.14385072886943817
methodB,truesmile,ambiguous,1,0.1663583666086197
methodB,truesmile,ambiguous,2,0.3332385718822479
methodB,truesmile,ambiguous,3,0.3438009023666382
methodB,truesmile,ambiguous,4,0.45939919352531433
methodB,truesmile,ambiguous,5,0.4476960599422455
methodB,truesmile,ambiguous,6,0.42818254232406616
methodB,truesmile,ambiguous,7,0.520243763923645
methodB,truesmile,ambiguous,8,0.5418107509613037
methodB,truesmile,ambiguous,9,0.4620913565158844
methodB,truesmile,ambiguous,10,0.47554317116737366
methodB,truesmile,ambiguous,11,0.48827481269836426
methodB,truesmile,ambiguous,12,0.5000734329223633
methodB,truesmile,ambiguous,13,0.5894539952278137
methodB,truesmile,ambiguous,14,0.6714572310447693
methodB,truesmile,ambiguous,15,0.6529289484024048
methodB,truesmile,ambiguous,16,0.6968859434127808
methodB,truesmile,ambiguous,17,0.7084755897521973
methodB,truesmile,ambiguous,18,0.7366315126419067
methodB,truesmile,ambiguous,19,0.7374159693717957
methodB,ambiguous,polite,0,0.09615349024534225
methodB,ambiguous,polite,1,0.04294390603899956
methodB,ambiguous,polite,2,0.08394782245159149
