method,metric_type,class,anchor_class,time_index,mean,std,median,q1,q3
methodB,difference_norm,ambiguous,ambiguous,0,0.16145856347348955,0.0806113714588501,0.14513474702835083,0.1096009612083435,0.1951402798295021
methodB,difference_norm,ambiguous,ambiguous,1,0.11888422527247006,0.07669954280924238,0.09950064867734909,0.06523356586694717,0.1474040001630783
methodB,difference_norm,ambiguous,ambiguous,2,0.2348186649658062,0.11735223874514876,0.20492157340049744,0.1543213501572609,0.3204001784324646
methodB,difference_norm,ambiguous,ambiguous,3,0.3322561190084175,0.14241213890845883,0.3259070813655853,0.22800979763269424,0.41195230185985565
methodB,difference_norm,ambiguous,ambiguous,4,0.4041610117311831,0.1460854006636402,0.40430697798728943,0.32647714018821716,0.46464888751506805
methodB,difference_norm,ambiguous,ambiguous,5,0.44659046442420397,0.14028037740225513,0.45992332696914673,0.3520200103521347,0.515158474445343
methodB,difference_norm,ambiguous,ambiguous,6,0.467744673843737,0.1360178639442334,0.4655764698982239,0.4121621549129486,0.5557988584041595
methodB,difference_norm,ambiguous,ambiguous,7,0.5740641995712563,0.13997813427959543,0.592551052570343,0.5300151407718658,0.6526302099227905
methodB,difference_norm,ambiguous,ambiguous,8,0.5997419291072421,0.1364697072149952,0.6351648569107056,0.5661913454532623,0.6531280279159546
methodB,difference_norm,ambiguous,ambiguous,9,0.5581707236943422,0.13762734919382053,0.5905840992927551,0.5261520147323608,0.6216676533222198
methodB,difference_norm,ambiguous,ambiguous,10,0.5641582034252308,0.1510941981528154,0.5956204533576965,0.5026445537805557,0.6405147314071655
methodB,difference_norm,ambiguous,ambiguous,11,0.5820494305204462,0.160932519301031,0.6123549938201904,0.4980100691318512,0.6731670796871185
methodB,difference_norm,ambiguous,ambiguous,12,0.563200530078676,0.15247413109465846,0.5845168232917786,0.49299879372119904,0.6395897567272186
methodB,difference_norm,ambiguous,ambiguous,13,0.595758667698613,0.1636211514457776,0.6119441390037537,0.527105301618576,0.7050428986549377
methodB,difference_norm,ambiguous,ambiguous,14,0.6111098439605148,0.16400330092924387,0.6532849073410034,0.5140093266963959,0.710470974445343
methodB,difference_norm,ambiguous,ambiguous,15,0.5991760426097446,0.1523198503463263,0.6287064552307129,0.5378113389015198,0.681758463382721
methodB,difference_norm,ambiguous,ambiguous,16,0.615013556347953,0.15167933097776592,0.6551499366760254,0.5664615035057068,0.6846390664577484
methodB,difference_norm,ambiguous,ambiguous,17,0.6169500946998596,0.15629867375602688,0.6417983174324036,0.5995154082775116,0.6962583065032959
methodB,difference_norm,ambiguous,ambiguous,18,0.6201364971973278,0.15736384930494832,0.6383112072944641,0.5942808389663696,0.6826135218143463
methodB,difference_norm,ambiguous,ambiguous,19,0.6207422845893436,0.16231150329307184,0.6406965851783752,0.5718316733837128,0.6951563358306885
methodB,difference_norm,polite,ambiguous,0,0.1369615407978616,0.04346288217068789,0.12478914856910706,0.1044977456331253,0.16749615967273712
