method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodB,polite,polite,1,0,0.23428966104984283
methodB,polite,polite,1,1,0.0985349714756012
methodB,polite,polite,1,2,0.1958962082862854
methodB,polite,polite,1,3,0.2644590735435486
methodB,polite,polite,1,4,0.31860795617103577
methodB,polite,polite,1,5,0.3452562093734741
methodB,polite,polite,1,6,0.35810691118240356
methodB,polite,polite,1,7,0.3924507200717926
methodB,polite,polite,1,8,0.401559054851532
methodB,polite,polite,1,9,0.3993847668170929
methodB,polite,polite,1,10,0.4045255780220032
methodB,polite,polite,1,11,0.39318910241127014
methodB,polite,polite,1,12,0.4529680907726288
methodB,polite,polite,1,13,0.46977299451828003
methodB,polite,polite,1,14,0.43033909797668457
methodB,polite,polite,1,15,0.4164440929889679
methodB,polite,polite,1,16,0.4009459614753723
methodB,polite,polite,1,17,0.43073636293411255
methodB,polite,polite,1,18,0.433522492647171
methodB,polite,polite,1,19,0.43547606468200684
methodB,truesmile,polite,1,0,0.21420010924339294
methodB,truesmile,polite,1,1,0.19607795774936676
methodB,truesmile,polite,1,2,0.39824268221855164
methodB,truesmile,polite,1,3,0.39964166283607483
methodB,truesmile,polite,1,4,0.44800013303756714
methodB,truesmile,polite,1,5,0.4690132737159729
methodB,truesmile,polite,1,6,0.4826236069202423
methodB,truesmile,polite,1,7,0.49339184165000916
methodB,truesmile,polite,1,8,0.528913676738739
methodB,truesmile,polite,1,9,0.45860764384269714
methodB,truesmile,polite,1,10,0.46540263295173645
methodB,truesmile,polite,1,11,0.505628228187561
methodB,truesmile,polite,1,12,0.5615321397781372
methodB,truesmile,polite,1,13,0.6018393635749817
methodB,truesmile,polite,1,14,0.6619058847427368
methodB,truesmile,polite,1,15,0.6678727269172668
methodB,truesmile,polite,1,16,0.6533394455909729
methodB,truesmile,polite,1,17,0.6099911332130432
methodB,truesmile,polite,1,18,0.6428297758102417
methodB,truesmile,polite,1,19,0.6363402605056763
methodB,ambiguous,polite,1,0,0.21926645934581757
methodB,ambiguous,polite,1,1,0.1019616350531578
methodB,ambiguous,polite,1,2,0.1873309314250946
methodB,ambiguous,polite,1,3,0.26052743196487427
methodB,ambiguous,polite,1,4,0.2936485707759857
methodB,ambiguous,polite,1,5,0.3021712899208069
methodB,ambiguous,polite,1,6,0.30792444944381714
methodB,ambiguous,polite,1,7,0.4513736665248871
methodB,ambiguous,polite,1,8,0.500305712223053
methodB,ambiguous,polite,1,9,0.43751245737075806
methodB,ambiguous,polite,1,10,0.42544546723365784
methodB,ambiguous,polite,1,11,0.40676459670066833
methodB,ambiguous,polite,1,12,0.3986617624759674
methodB,ambiguous,polite,1,13,0.4289376437664032
methodB,ambiguous,polite,1,14,0.416069358587265
methodB,ambiguous,polite,1,15,0.4144688546657562
methodB,ambiguous,polite,1,16,0.4512169361114502
methodB,ambiguous,polite,1,17,0.4317406713962555
methodB,ambiguous,polite,1,18,0.45445966720581055
methodB,ambiguous,polite,1,19,0.47376319766044617
methodB,polite,polite,10,0,0.116801917552948
methodB,polite,polite,10,1,0.084437794983387
methodB,polite,polite,10,2,0.31365084648132324
methodB,polite,polite,10,3,0.46518388390541077
methodB,polite,polite,10,4,0.5012423992156982
methodB,polite,polite,10,5,0.6368020176887512
methodB,polite,polite,10,6,0.6417307257652283
methodB,polite,polite,10,7,0.6033639311790466
methodB,polite,polite,10,8,0.5877089500427246
methodB,polite,polite,10,9,0.6108866930007935
methodB,polite,polite,10,10,0.5702527761459351
methodB,polite,polite,10,11,0.5870682001113892
methodB,polite,polite,10,12,0.6104142665863037
methodB,polite,polite,10,13,0.6175208687782288
methodB,polite,polite,10,14,0.5940611958503723
methodB,polite,polite,10,15,0.5664294958114624
methodB,polite,polite,10,16,0.5599919557571411
methodB,polite,polite,10,17,0.5460577011108398
methodB,polite,polite,10,18,0.5770247578620911
methodB,polite,polite,10,19,0.5924994945526123
methodB,truesmile,polite,10,0,0.15674908459186554
methodB,truesmile,polite,10,1,0.17442068457603455
methodB,truesmile,polite,10,2,0.4322606325149536
methodB,truesmile,polite,10,3,0.5127562284469604
methodB,truesmile,polite,10,4,0.6173490881919861
methodB,truesmile,polite,10,5,0.6526597142219543
methodB,truesmile,polite,10,6,0.6665219068527222
methodB,truesmile,polite,10,7,0.6470091342926025
methodB,truesmile,polite,10,8,0.6342061758041382
methodB,truesmile,polite,10,9,0.62412428855896
methodB,truesmile,polite,10,10,0.5814875960350037
methodB,truesmile,polite,10,11,0.6134138703346252
methodB,truesmile,polite,10,12,0.6893309354782104
methodB,truesmile,polite,10,13,0.7558827996253967
methodB,truesmile,polite,10,14,0.7997174859046936
methodB,truesmile,polite,10,15,0.7690041065216064
methodB,truesmile,polite,10,16,0.7411367893218994
methodB,truesmile,polite,10,17,0.7306576371192932
methodB,truesmile,polite,10,18,0.7340469360351562
methodB,truesmile,polite,10,19,0.7477874755859375
methodB,ambiguous,polite,10,0,0.10577674210071564
methodB,ambiguous,polite,10,1,0.08224738389253616
methodB,ambiguous,polite,10,2,0.31538644433021545
methodB,ambiguous,polite,10,3,0.4641495943069458
methodB,ambiguous,polite,10,4,0.4936181902885437
methodB,ambiguous,polite,10,5,0.62391597032547
methodB,ambiguous,polite,10,6,0.6056942939758301
methodB,ambiguous,polite,10,7,0.609025239944458
methodB,ambiguous,polite,10,8,0.5772262811660767
methodB,ambiguous,polite,10,9,0.640580415725708
methodB,ambiguous,polite,10,10,0.6315935850143433
methodB,ambiguous,polite,10,11,0.6860588192939758
methodB,ambiguous,polite,10,12,0.6168864965438843
methodB,ambiguous,polite,10,13,0.6282625794410706
methodB,ambiguous,polite,10,14,0.5985892415046692
methodB,ambiguous,polite,10,15,0.5655196309089661
methodB,ambiguous,polite,10,16,0.5732606649398804
methodB,ambiguous,polite,10,17,0.5646209716796875
methodB,ambiguous,polite,10,18,0.6023978590965271
methodB,ambiguous,polite,10,19,0.6193913817405701
methodB,polite,polite,11,0,0.09611904621124268
methodB,polite,polite,11,1,0.059275612235069275
methodB,polite,polite,11,2,0.18152710795402527
methodB,polite,polite,11,3,0.20720292627811432
methodB,polite,polite,11,4,0.3084782660007477
methodB,polite,polite,11,5,0.33815571665763855
methodB,polite,polite,11,6,0.4155065715312958
methodB,polite,polite,11,7,0.5110092759132385
methodB,polite,polite,11,8,0.4836069345474243
methodB,polite,polite,11,9,0.46663522720336914
methodB,polite,polite,11,10,0.4414273798465729
methodB,polite,polite,11,11,0.41501384973526
methodB,polite,polite,11,12,0.49619510769844055
methodB,polite,polite,11,13,0.46805477142333984
methodB,polite,polite,11,14,0.5071399211883545
methodB,polite,polite,11,15,0.5252725481987
methodB,polite,polite,11,16,0.543438732624054
methodB,polite,polite,11,17,0.512172281742096
methodB,polite,polite,11,18,0.4958958923816681
methodB,polite,polite,11,19,0.45473918318748474
methodB,truesmile,polite,11,0,0.1316387951374054
methodB,truesmile,polite,11,1,0.15923091769218445
methodB,truesmile,polite,11,2,0.38295337557792664
methodB,truesmile,polite,11,3,0.3815767467021942
methodB,truesmile,polite,11,4,0.5251425504684448
methodB,truesmile,polite,11,5,0.5195716619491577
methodB,truesmile,polite,11,6,0.56035977602005
methodB,truesmile,polite,11,7,0.6226369738578796
