method,class,time_index,projection_length,projection_ratio
methodB,polite,0,0.0,0.0
methodB,polite,1,-0.0008642775937914848,-0.001323884236626327
methodB,polite,2,-0.0004298978019505739,-0.0006585094379261136
methodB,polite,3,-0.00518654752522707,-0.007944656535983086
methodB,polite,4,-0.02882394753396511,-0.04415198415517807
methodB,polite,5,-0.007037060335278511,-0.010779237374663353
methodB,polite,6,-0.009616282768547535,-0.014730041846632957
methodB,polite,7,0.005854455754160881,0.008967746049165726
methodB,polite,8,0.022262338548898697,0.034101035445928574
methodB,polite,9,0.008836815133690834,0.013536067679524422
methodB,polite,10,0.04018429294228554,0.06155354902148247
methodB,polite,11,0.04409352317452431,0.06754163652658463
methodB,polite,12,0.054191138595342636,0.08300897479057312
methodB,polite,13,0.058783553540706635,0.09004354476928711
methodB,polite,14,0.03285429626703262,0.05032559484243393
methodB,polite,15,0.06427405774593353,0.09845379739999771
methodB,polite,16,0.09241701662540436,0.14156265556812286
methodB,polite,17,0.09897094964981079,0.1516018509864807
methodB,polite,18,0.09749967604875565,0.149348184466362
methodB,polite,19,0.0969478115439415,0.14850284159183502
methodB,truesmile,0,0.0,0.0
methodB,truesmile,1,0.06759379804134369,0.10353891551494598
methodB,truesmile,2,0.08617663383483887,0.1320037543773651
methodB,truesmile,3,0.1690494269132614,0.2589467465877533
methodB,truesmile,4,0.19462338089942932,0.2981204390525818
methodB,truesmile,5,0.2217615395784378,0.3396901786327362
methodB,truesmile,6,0.28160327672958374,0.4313546419143677
methodB,truesmile,7,0.27573442459106445,0.42236483097076416
methodB,truesmile,8,0.2861767113208771,0.4383601248264313
methodB,truesmile,9,0.30461201071739197,0.4665989875793457
methodB,truesmile,10,0.29507094621658325,0.451984167098999
methodB,truesmile,11,0.3333835005760193,0.5106706023216248
methodB,truesmile,12,0.3583831787109375,0.5489646196365356
methodB,truesmile,13,0.4118788242340088,0.6309082508087158
methodB,truesmile,14,0.4733544886112213,0.7250755429267883
methodB,truesmile,15,0.4595492482185364,0.7039289474487305
methodB,truesmile,16,0.4484436511993408,0.6869176030158997
methodB,truesmile,17,0.5012861490249634,0.7678607702255249
methodB,truesmile,18,0.5470268130302429,0.8379254341125488
methodB,truesmile,19,0.6528347134590149,1.0
methodB,ambiguous,0,0.0,0.0
methodB,ambiguous,1,0.0004389033420011401,0.0006723039550706744
methodB,ambiguous,2,-0.005021458491683006,-0.007691776379942894
methodB,ambiguous,3,-0.005055832676589489,-0.007744430098682642
methodB,ambiguous,4,0.0018456275574862957,0.002827097661793232
methodB,ambiguous,5,0.013662064447999,0.020927295088768005
methodB,ambiguous,6,0.04648905619978905,0.0712110698223114
methodB,ambiguous,7,0.10832274705171585,0.1659267544746399
methodB,ambiguous,8,0.08823411166667938,0.13515536487102509
methodB,ambiguous,9,0.07464087754487991,0.11433350294828415
methodB,ambiguous,10,0.047423116862773895,0.07264184206724167
methodB,ambiguous,11,0.032765936106443405,0.05019024759531021
methodB,ambiguous,12,0.04249799624085426,0.0650976374745369
methodB,ambiguous,13,0.009554200805723667,0.01463494636118412
methodB,ambiguous,14,0.00531592033803463,0.008142827078700066
methodB,ambiguous,15,0.029605913907289505,0.045349784195423126
methodB,ambiguous,16,-0.0027200886979699135,-0.004166581202298403
methodB,ambiguous,17,-0.017500581219792366,-0.026807062327861786
methodB,ambiguous,18,-0.009761369787156582,-0.014952283352613449
methodB,ambiguous,19,-0.01581556722521782,-0.024225989356637
