method,class,time_index,off_axis_distance,off_axis_ratio
methodB,polite,0,0.0,0.0
methodB,polite,1,0.10726858675479889,0.16431201994419098
methodB,polite,2,0.1398950219154358,0.21428857743740082
methodB,polite,3,0.15933150053024292,0.24406100809574127
methodB,polite,4,0.20907464623451233,0.32025662064552307
methodB,polite,5,0.2492169290781021,0.3817458152770996
methodB,polite,6,0.27003419399261475,0.4136333167552948
methodB,polite,7,0.2861595153808594,0.43833377957344055
methodB,polite,8,0.2840183973312378,0.43505406379699707
methodB,polite,9,0.29193300008773804,0.4471774995326996
methodB,polite,10,0.29389476776123047,0.4501824975013733
methodB,polite,11,0.30367815494537354,0.4651685059070587
methodB,polite,12,0.3483748435974121,0.5336340665817261
methodB,polite,13,0.3310813903808594,0.5071442723274231
methodB,polite,14,0.34659698605537415,0.5309107899665833
methodB,polite,15,0.3689190745353699,0.5651033520698547
methodB,polite,16,0.38148048520088196,0.5843446850776672
methodB,polite,17,0.38631030917167664,0.5917429327964783
methodB,polite,18,0.3803866505622864,0.5826691389083862
methodB,polite,19,0.3806074857711792,0.5830074548721313
methodB,truesmile,0,0.0,0.0
methodB,truesmile,1,0.23670612275600433,0.3625819981098175
methodB,truesmile,2,0.33184316754341125,0.5083111524581909
methodB,truesmile,3,0.30927684903144836,0.4737444818019867
methodB,truesmile,4,0.4322798550128937,0.662158191204071
methodB,truesmile,5,0.424568772315979,0.6503465175628662
methodB,truesmile,6,0.4028111398220062,0.6170185804367065
methodB,truesmile,7,0.3945774435997009,0.6044063568115234
methodB,truesmile,8,0.41815775632858276,0.6405262351036072
methodB,truesmile,9,0.3426934778690338,0.5249314308166504
methodB,truesmile,10,0.3717482089996338,0.5694369673728943
methodB,truesmile,11,0.3076130449771881,0.47119590640068054
methodB,truesmile,12,0.34708577394485474,0.5316594839096069
methodB,truesmile,13,0.388187050819397,0.5946176648139954
methodB,truesmile,14,0.4228249788284302,0.6476753950119019
methodB,truesmile,15,0.43235892057418823,0.6622793078422546
methodB,truesmile,16,0.4231834411621094,0.6482244729995728
methodB,truesmile,17,0.3699432909488678,0.5666722059249878
methodB,truesmile,18,0.3897080421447754,0.5969474911689758
methodB,truesmile,19,1.8867297058022814e-08,2.890057260174217e-08
methodB,ambiguous,0,0.0,0.0
methodB,ambiguous,1,0.07962694764137268,0.12197107076644897
methodB,ambiguous,2,0.11577005684375763,0.17733441293239594
methodB,ambiguous,3,0.166859433054924,0.2555921673774719
methodB,ambiguous,4,0.21430091559886932,0.3282621204853058
methodB,ambiguous,5,0.21356961131095886,0.3271419405937195
methodB,ambiguous,6,0.2233429104089737,0.3421124815940857
methodB,ambiguous,7,0.39805713295936584,0.609736442565918
methodB,ambiguous,8,0.4369325637817383,0.6692851185798645
methodB,ambiguous,9,0.3332880139350891,0.510524332523346
methodB,ambiguous,10,0.28668734431266785,0.4391423165798187
methodB,ambiguous,11,0.2938794791698456,0.45015910267829895
methodB,ambiguous,12,0.29221054911613464,0.44760265946388245
methodB,ambiguous,13,0.2939635217189789,0.4502878189086914
methodB,ambiguous,14,0.3097448945045471,0.4744614362716675
methodB,ambiguous,15,0.3227035701274872,0.49431130290031433
methodB,ambiguous,16,0.3618128001689911,0.554218053817749
methodB,ambiguous,17,0.35061341524124146,0.5370630621910095
methodB,ambiguous,18,0.3547317385673523,0.5433714389801025
methodB,ambiguous,19,0.33090940117836,0.5068808197975159
