method,class,sequence_id,time_index,projection_ratio,off_axis_ratio
methodB,polite,1,0,0.0,0.0
methodB,polite,1,1,0.029574744403362274,0.4197739362716675
methodB,polite,1,2,0.07195443660020828,0.5375376343727112
methodB,polite,1,3,0.11080843955278397,0.5793103575706482
methodB,polite,1,4,0.14636272192001343,0.5620973706245422
methodB,polite,1,5,0.13286785781383514,0.6006571650505066
methodB,polite,1,6,0.11128263175487518,0.5868276357650757
methodB,polite,1,7,0.12111911177635193,0.6358806490898132
methodB,polite,1,8,0.10087794065475464,0.6525417566299438
methodB,polite,1,9,0.09461113065481186,0.6675091981887817
methodB,polite,1,10,0.07263258844614029,0.6773821711540222
methodB,polite,1,11,0.07439673691987991,0.6588956117630005
methodB,polite,1,12,0.11058175563812256,0.6660346984863281
methodB,polite,1,13,0.11155881732702255,0.6765273213386536
methodB,polite,1,14,0.11841534078121185,0.6662869453430176
methodB,polite,1,15,0.11609860509634018,0.6599826216697693
methodB,polite,1,16,0.15287275612354279,0.6522526144981384
methodB,polite,1,17,0.14626573026180267,0.5703526735305786
methodB,polite,1,18,0.1679270714521408,0.5030137896537781
methodB,polite,1,19,0.18120482563972473,0.6332836151123047
methodB,polite,10,0,0.0,0.0
methodB,polite,10,1,-0.019845200702548027,0.25037357211112976
methodB,polite,10,2,-0.050180770456790924,0.5274440050125122
methodB,polite,10,3,0.01361373532563448,0.6986216902732849
methodB,polite,10,4,0.011840065941214561,0.7705453038215637
methodB,polite,10,5,0.23987552523612976,0.9514873623847961
methodB,polite,10,6,0.20499329268932343,0.9858148097991943
methodB,polite,10,7,0.165748730301857,0.9847345352172852
methodB,polite,10,8,0.23017677664756775,0.933624267578125
methodB,polite,10,9,0.15867845714092255,1.0190190076828003
methodB,polite,10,10,0.2734634578227997,0.9417203664779663
methodB,polite,10,11,0.3084091246128082,0.9750702977180481
methodB,polite,10,12,0.22421450912952423,0.9631396532058716
methodB,polite,10,13,0.12272094935178757,0.9492005109786987
methodB,polite,10,14,0.12531854212284088,0.8997997045516968
methodB,polite,10,15,0.13635583221912384,0.8628517985343933
methodB,polite,10,16,0.1356225460767746,0.8220489621162415
methodB,polite,10,17,0.10489155352115631,0.7931010723114014
methodB,polite,10,18,0.1096414253115654,0.8252401351928711
methodB,polite,10,19,0.13342395424842834,0.8525269627571106
methodB,polite,11,0,0.0,0.0
methodB,polite,11,1,-0.0003547712694853544,0.1585233360528946
methodB,polite,11,2,0.019294194877147675,0.3539749085903168
methodB,polite,11,3,0.017288584262132645,0.3735327124595642
methodB,polite,11,4,0.041593410074710846,0.43844980001449585
methodB,polite,11,5,0.033816173672676086,0.4891001284122467
methodB,polite,11,6,0.050417400896549225,0.5650256872177124
methodB,polite,11,7,0.1727474480867386,0.718061625957489
methodB,polite,11,8,0.12208672612905502,0.6812794208526611
methodB,polite,11,9,0.0976516380906105,0.6797340512275696
methodB,polite,11,10,0.10548141598701477,0.6500685214996338
methodB,polite,11,11,0.10262142866849899,0.5902843475341797
methodB,polite,11,12,0.10961166024208069,0.633297324180603
methodB,polite,11,13,0.10383965075016022,0.5995772480964661
methodB,polite,11,14,0.1363411396741867,0.6584872603416443
methodB,polite,11,15,0.13249702751636505,0.6562563180923462
methodB,polite,11,16,0.15116745233535767,0.6647363305091858
methodB,polite,11,17,0.11549364030361176,0.5542272925376892
methodB,polite,11,18,0.02084294706583023,0.4765165448188782
methodB,polite,11,19,-0.0012878180714324117,0.44204869866371155
methodB,polite,13,0,0.0,0.0
methodB,polite,13,1,-0.001323884236626327,0.16431201994419098
methodB,polite,13,2,-0.0006585094379261136,0.21428857743740082
methodB,polite,13,3,-0.007944656535983086,0.24406100809574127
methodB,polite,13,4,-0.04415198415517807,0.32025662064552307
methodB,polite,13,5,-0.010779237374663353,0.3817458152770996
methodB,polite,13,6,-0.014730041846632957,0.4136333167552948
methodB,polite,13,7,0.008967746049165726,0.43833377957344055
methodB,polite,13,8,0.034101035445928574,0.43505406379699707
methodB,polite,13,9,0.013536067679524422,0.4471774995326996
methodB,polite,13,10,0.06155354902148247,0.4501824975013733
methodB,polite,13,11,0.06754163652658463,0.4651685059070587
methodB,polite,13,12,0.08300897479057312,0.5336340665817261
methodB,polite,13,13,0.09004354476928711,0.5071442723274231
methodB,polite,13,14,0.05032559484243393,0.5309107899665833
methodB,polite,13,15,0.09845379739999771,0.5651033520698547
methodB,polite,13,16,0.14156265556812286,0.5843446850776672
methodB,polite,13,17,0.1516018509864807,0.5917429327964783
methodB,polite,13,18,0.149348184466362,0.5826691389083862
methodB,polite,13,19,0.14850284159183502,0.5830074548721313
methodB,polite,15,0,0.0,0.0
methodB,polite,15,1,0.02526053600013256,0.16046838462352753
methodB,polite,15,2,0.024697888642549515,0.21349859237670898
methodB,polite,15,3,0.008842273615300655,0.26814004778862
methodB,polite,15,4,0.010009384714066982,0.32132041454315186
methodB,polite,15,5,0.02012857422232628,0.7674007415771484
methodB,polite,15,6,-0.012169239111244678,0.5237111449241638
methodB,polite,15,7,-0.07517847418785095,0.4552271366119385
methodB,polite,15,8,-0.018327629193663597,0.473842054605484
