method,metric_type,class,anchor_class,time_index,mean,std,median,q1,q3
methodB,off_axis_ratio,ambiguous,,0,0.0,0.0,0.0,0.0,0.0
methodB,off_axis_ratio,ambiguous,,1,0.35752679131649157,0.2130537355249504,0.3221668004989624,0.20802908390760422,0.3947778046131134
methodB,off_axis_ratio,ambiguous,,2,0.49322849070584335,0.22280664658300534,0.4741566777229309,0.29221847653388977,0.6164102554321289
methodB,off_axis_ratio,ambiguous,,3,0.5647374176316791,0.24381098920929622,0.5172123312950134,0.39599308371543884,0.6920634508132935
methodB,off_axis_ratio,ambiguous,,4,0.6417459459216507,0.23156883265980224,0.5973349809646606,0.4795352518558502,0.7731558978557587
methodB,off_axis_ratio,ambiguous,,5,0.7068794082712244,0.21424830968652944,0.6929644346237183,0.5377398729324341,0.8299337923526764
methodB,off_axis_ratio,ambiguous,,6,0.750817882793921,0.1995798428813376,0.742781937122345,0.6161962747573853,0.8871309459209442
methodB,off_axis_ratio,ambiguous,,7,0.8157210912969377,0.1992279426077495,0.7845723628997803,0.6730639338493347,0.9399246871471405
methodB,off_axis_ratio,ambiguous,,8,0.8490751716825697,0.18622787306856178,0.8451995849609375,0.713571697473526,0.9301932752132416
methodB,off_axis_ratio,ambiguous,,9,0.8594722394590024,0.19138600212237375,0.849794864654541,0.7526241540908813,0.9524002373218536
methodB,off_axis_ratio,ambiguous,,10,0.8611901457662936,0.21750588127910853,0.8603573441505432,0.7170779705047607,0.9541454911231995
methodB,off_axis_ratio,ambiguous,,11,0.8837806063669699,0.22141104531973566,0.9162569046020508,0.7268017828464508,0.978172093629837
methodB,off_axis_ratio,ambiguous,,12,0.8911556391804306,0.21810195858730907,0.9004681706428528,0.7175505757331848,1.0093606412410736
methodB,off_axis_ratio,ambiguous,,13,0.9099164406458536,0.2182252710287468,0.9118384122848511,0.7309327721595764,1.0571209788322449
methodB,off_axis_ratio,ambiguous,,14,0.9174573553933038,0.2089094350804448,0.93185955286026,0.7545385956764221,1.0546128749847412
methodB,off_axis_ratio,ambiguous,,15,0.9142643930735411,0.19036035903958234,0.8872597813606262,0.7840120494365692,1.041442096233368
methodB,off_axis_ratio,ambiguous,,16,0.9181976914405823,0.1852853246020574,0.9059706330299377,0.8068961203098297,1.0564880967140198
methodB,off_axis_ratio,ambiguous,,17,0.9248036985044126,0.19895852822872412,0.9246590733528137,0.82649827003479,1.0616405010223389
methodB,off_axis_ratio,ambiguous,,18,0.9222613860059667,0.19653015004501143,0.935799777507782,0.8091090321540833,1.065514326095581
methodB,off_axis_ratio,ambiguous,,19,0.9088664761296025,0.21272020874834838,0.8915339112281799,0.7690426707267761,1.0902827382087708
methodB,off_axis_ratio,polite,,0,0.0,0.0,0.0,0.0,0.0
methodB,off_axis_ratio,polite,,1,0.2968019054430287,0.11447342782857627,0.26460933685302734,0.2228570431470871,0.35699570178985596
methodB,off_axis_ratio,polite,,2,0.4029054056580474,0.1351356408535445,0.38393959403038025,0.333030104637146,0.46988168358802795
methodB,off_axis_ratio,polite,,3,0.4930324194634833,0.16449855692118256,0.47556421160697937,0.352990061044693,0.5925812125205994
methodB,off_axis_ratio,polite,,4,0.5401117525449614,0.1612068820692565,0.5194101929664612,0.4315200746059418,0.6644222736358643
methodB,off_axis_ratio,polite,,5,0.6079497569944801,0.16565436626045127,0.5866207480430603,0.4891001284122467,0.7123148441314697
methodB,off_axis_ratio,polite,,6,0.6294679619917055,0.15565447374163308,0.6208372712135315,0.5158377885818481,0.7335843443870544
methodB,off_axis_ratio,polite,,7,0.6721284607561623,0.16308582226790974,0.6529827117919922,0.5494903922080994,0.7625553607940674
methodB,off_axis_ratio,polite,,8,0.692630517046626,0.17533346082789633,0.6525417566299438,0.5899317264556885,0.7847063541412354
methodB,off_axis_ratio,polite,,9,0.7253284199935633,0.18671851044123766,0.718047559261322,0.6153172850608826,0.8110144734382629
methodB,off_axis_ratio,polite,,10,0.7437308801383506,0.18708127059992893,0.7299940586090088,0.6162977814674377,0.8633617162704468
methodB,off_axis_ratio,polite,,11,0.7649023009509575,0.1844863726705781,0.7539016008377075,0.6539598703384399,0.8624433875083923
methodB,off_axis_ratio,polite,,12,0.7885840266216092,0.1929024008091206,0.7445757389068604,0.6528069972991943,0.9229833483695984
methodB,off_axis_ratio,polite,,13,0.8008321698119001,0.20568477209294186,0.765713632106781,0.6333498358726501,0.9663680791854858
methodB,off_axis_ratio,polite,,14,0.8114521176349826,0.20108065329312444,0.8100919723510742,0.6424307823181152,0.9502903819084167
methodB,off_axis_ratio,polite,,15,0.8098763518217134,0.18833357320827776,0.7868559956550598,0.6599826216697693,0.9719693064689636
methodB,off_axis_ratio,polite,,16,0.8158268594160313,0.1947881711780155,0.8220489621162415,0.6522526144981384,0.990607738494873
methodB,off_axis_ratio,polite,,17,0.8098818369028045,0.19524334050837633,0.8054766654968262,0.6175170540809631,0.9755079746246338
methodB,off_axis_ratio,polite,,18,0.7928159629426351,0.20760287334847496,0.8237584233283997,0.6135980486869812,0.9700198769569397
methodB,off_axis_ratio,polite,,19,0.8023830848496135,0.19802573658352862,0.7841838598251343,0.6673179268836975,0.9843173623085022
methodB,off_axis_ratio,truesmile,,0,0.0,0.0,0.0,0.0,0.0
methodB,off_axis_ratio,truesmile,,1,0.6219536413749059,0.13750378886949846,0.6283116638660431,0.5881772637367249,0.7113637328147888
methodB,off_axis_ratio,truesmile,,2,0.827470064163208,0.16870117600388654,0.8154751360416412,0.8039108067750931,0.9534059315919876
methodB,off_axis_ratio,truesmile,,3,0.9348964144786199,0.2426761788573321,0.9592669010162354,0.9164351373910904,1.0027816891670227
methodB,off_axis_ratio,truesmile,,4,1.0368356108665466,0.20846181408997952,1.0277278125286102,0.9911569505929947,1.1343120634555817
methodB,off_axis_ratio,truesmile,,5,1.0695758660634358,0.2253768387087348,1.085750937461853,1.0427614152431488,1.134474754333496
methodB,off_axis_ratio,truesmile,,6,1.0951857169469197,0.2450194845281896,1.122830867767334,1.0835592448711395,1.1785413026809692
methodB,off_axis_ratio,truesmile,,7,1.1018402973810832,0.2499071610184738,1.1363059282302856,1.086224377155304,1.2109055519104004
methodB,off_axis_ratio,truesmile,,8,1.1287621955076854,0.24393207455461743,1.1688684225082397,1.1078799962997437,1.2443478405475616
methodB,off_axis_ratio,truesmile,,9,1.107679049173991,0.27371648369691015,1.1775053143501282,1.1178896725177765,1.2974793314933777
methodB,off_axis_ratio,truesmile,,10,1.0952792863051097,0.2578843274988063,1.1384970545768738,1.0686561167240143,1.2808869183063507
