episode_id,video_id,clip_path,person_id,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,main_label,confidence,intensity,eye_involvement,mouth_movement,cheek_raise,symmetry,visible_quality,usable_for_training,note,occlusion_type,occlusion_start_frame,occlusion_end_frame,occlusion_severity,occlusion_note,occlusion_segments
E000002,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,0,,271,0.000,,9.033,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000003,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,271,,283,9.033,,9.433,discard,5,3,3,3,3,symmetric,good,no,,none,,,none,,[]
E000004,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,283,,451,9.433,,15.033,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000005,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,0,,271,0.000,,9.033,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000006,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,271,,283,9.033,,9.433,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000007,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,283,,453,9.433,,15.100,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000008,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,453,473,523,15.100,15.767,17.433,polite_smile,4,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000009,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,523,,564,17.433,,18.800,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000010,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,564,,614,18.800,,20.467,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000011,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,614,,828,20.467,,27.600,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000012,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,828,,997,27.600,,33.233,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000013,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,997,,1634,33.233,,54.467,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000014,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,1634,,1999,54.467,,66.633,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000015,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,1999,,2012,66.633,,67.067,discard,5,3,3,3,3,unknown,good,no,,none,,,none,,[]
E000016,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,2012,,2198,67.067,,73.267,neutral,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
E000017,20250926_part000_start000000s_end000300s,E:\Matsuda_data\split_videos\20250926_part000_start000000s_end000300s.mp4,,2198,2210,2218,73.267,73.667,73.933,polite_smile,5,3,3,3,3,unknown,good,yes,,none,,,none,,[]
